DATE,WILL5000PR
2006-11-20,14055.01
2006-11-21,14085.02
2006-11-22,14121.24
2006-11-23,.
2006-11-24,14081.24
2006-11-27,13868.82
2006-11-28,13913.86
2006-11-29,14049.68
2006-11-30,14071.65
2006-12-01,14034.62
2006-12-04,14170.92
2006-12-05,14223.79
2006-12-06,14209.29
2006-12-07,14152.11
2006-12-08,14173.06
2006-12-11,14199.42
2006-12-12,14174.38
2006-12-13,14189.26
2006-12-14,14303.78
2006-12-15,14314.37
2006-12-18,14246.91
2006-12-19,14272.34
2006-12-20,14260.21
2006-12-21,14205.17
2006-12-22,14136.87
2006-12-25,.
2006-12-26,14201.44
2006-12-27,14306.90
2006-12-28,14283.99
2006-12-29,14215.82
2007-01-01,.
2007-01-02,.
2007-01-03,14200.48
2007-01-04,14222.24
2007-01-05,14118.63
2007-01-08,14149.93
2007-01-09,14153.46
2007-01-10,14186.96
2007-01-11,14290.38
2007-01-12,14365.62
2007-01-15,.
2007-01-16,14371.01
2007-01-17,14357.15
2007-01-18,14294.13
2007-01-19,14348.09
2007-01-22,14271.25
2007-01-23,14333.19
2007-01-24,14458.12
2007-01-25,14299.17
2007-01-26,14294.98
2007-01-29,14296.00
2007-01-30,14379.32
2007-01-31,14471.77
2007-02-01,14556.47
2007-02-02,14583.89
2007-02-05,14569.83
2007-02-06,14589.26
2007-02-07,14622.55
2007-02-08,14609.25
2007-02-09,14499.38
2007-02-12,14447.69
2007-02-13,14557.67
2007-02-14,14659.08
2007-02-15,14677.57
2007-02-16,14677.57
2007-02-19,.
2007-02-20,14734.23
2007-02-21,14723.00
2007-02-22,14715.79
2007-02-23,14667.34
2007-02-26,14644.24
2007-02-27,14144.88
2007-02-28,14213.88
2007-03-01,14177.23
2007-03-02,14000.78
2007-03-05,13840.98
2007-03-06,14067.03
2007-03-07,14036.83
2007-03-08,14137.21
2007-03-09,14154.80
2007-03-12,14196.82
2007-03-13,13907.89
2007-03-14,13992.14
2007-03-15,14056.59
2007-03-16,13998.65
2007-03-19,14152.56
2007-03-20,14245.49
2007-03-21,14481.49
2007-03-22,14483.47
2007-03-23,14500.74
2007-03-26,14508.74
2007-03-27,14420.18
2007-03-28,14314.84
2007-03-29,14360.64
2007-03-30,14354.03
2007-04-02,14394.26
2007-04-03,14525.08
2007-04-04,14539.50
2007-04-05,14584.96
2007-04-06,.
2007-04-09,14593.18
2007-04-10,14632.64
2007-04-11,14538.44
2007-04-12,14628.81
2007-04-13,14683.36
2007-04-16,14838.65
2007-04-17,14858.68
2007-04-18,14858.43
2007-04-19,14827.03
2007-04-20,14960.72
2007-04-23,14935.83
2007-04-24,14927.78
2007-04-25,15067.75
2007-04-26,15064.86
2007-04-27,15051.89
2007-04-30,14914.86
2007-05-01,14949.25
2007-05-02,15066.45
2007-05-03,15123.40
2007-05-04,15160.25
2007-05-07,15190.51
2007-05-08,15172.88
2007-05-09,15230.32
2007-05-10,15015.70
2007-05-11,15164.43
2007-05-14,15123.43
2007-05-15,15084.99
2007-05-16,15203.13
2007-05-17,15186.72
2007-05-18,15287.41
2007-05-21,15337.10
2007-05-22,15347.81
2007-05-23,15323.53
2007-05-24,15156.53
2007-05-25,15243.28
2007-05-28,.
2007-05-29,15286.38
2007-05-30,15411.86
2007-05-31,15429.51
2007-06-01,15494.60
2007-06-04,15529.01
2007-06-05,15443.42
2007-06-06,15300.98
2007-06-07,15027.22
2007-06-08,15192.57
2007-06-11,15204.51
2007-06-12,15043.87
2007-06-13,15259.06
2007-06-14,15335.68
2007-06-15,15443.70
2007-06-18,15424.16
2007-06-19,15451.28
2007-06-20,15248.61
2007-06-21,15336.93
2007-06-22,15159.09
2007-06-25,15094.38
2007-06-26,15043.07
2007-06-27,15187.13
2007-06-28,15187.52
2007-06-29,15163.10
2007-07-02,15331.78
2007-07-03,15384.78
2007-07-04,.
2007-07-05,15400.02
2007-07-06,15456.07
2007-07-09,15471.17
2007-07-10,15251.64
2007-07-11,15331.39
2007-07-12,15605.92
2007-07-13,15653.83
2007-07-16,15609.34
2007-07-17,15609.42
2007-07-18,15575.12
2007-07-19,15649.02
2007-07-20,15459.49
2007-07-23,15514.97
2007-07-24,15198.09
2007-07-25,15248.41
2007-07-26,14893.91
2007-07-27,14663.63
2007-07-30,14806.47
2007-07-31,14633.47
2007-08-01,14713.02
2007-08-02,14786.62
2007-08-03,14389.19
2007-08-06,14686.50
2007-08-07,14786.87
2007-08-08,15006.42
2007-08-09,14596.11
2007-08-10,14600.58
2007-08-13,14590.18
2007-08-14,14322.01
2007-08-15,14109.85
2007-08-16,14156.68
2007-08-17,14498.54
2007-08-20,14510.84
2007-08-21,14534.01
2007-08-22,14711.23
2007-08-23,14682.71
2007-08-24,14855.94
2007-08-27,14726.63
2007-08-28,14382.27
2007-08-29,14693.51
2007-08-30,14636.94
2007-08-31,14807.65
2007-09-03,.
2007-09-04,14967.20
2007-09-05,14804.23
2007-09-06,14863.57
2007-09-07,14613.18
2007-09-10,14574.91
2007-09-11,14771.15
2007-09-12,14765.77
2007-09-13,14874.67
2007-09-14,14890.99
2007-09-17,14804.49
2007-09-18,15236.90
2007-09-19,15335.25
2007-09-20,15234.59
2007-09-21,15300.93
2007-09-24,15219.84
2007-09-25,15210.94
2007-09-26,15296.52
2007-09-27,15367.95
2007-09-28,15317.78
2007-10-01,15528.82
2007-10-02,15543.16
2007-10-03,15469.67
2007-10-04,15502.95
2007-10-05,15670.82
2007-10-08,15621.58
2007-10-09,15745.39
2007-10-10,15730.40
2007-10-11,15639.57
2007-10-12,15719.67
2007-10-15,15583.46
2007-10-16,15480.14
2007-10-17,15509.08
2007-10-18,15501.21
2007-10-19,15105.35
2007-10-22,15175.10
2007-10-23,15310.50
2007-10-24,15266.57
2007-10-25,15239.59
2007-10-26,15445.80
2007-10-29,15503.68
2007-10-30,15403.50
2007-10-31,15594.91
2007-11-01,15182.60
2007-11-02,15194.28
2007-11-05,15104.48
2007-11-06,15285.47
2007-11-07,14854.40
2007-11-08,14855.40
2007-11-09,14645.14
2007-11-12,14486.35
2007-11-13,14890.37
2007-11-14,14792.37
2007-11-15,14604.90
2007-11-16,14667.80
2007-11-19,14405.22
2007-11-20,14450.03
2007-11-21,14233.39
2007-11-22,.
2007-11-23,14465.18
2007-11-26,14151.62
2007-11-27,14343.23
2007-11-28,14753.22
2007-11-29,14759.43
2007-11-30,14869.56
2007-12-03,14784.40
2007-12-04,14688.17
2007-12-05,14904.91
2007-12-06,15144.96
2007-12-07,15130.98
2007-12-10,15243.96
2007-12-11,14854.93
2007-12-12,14929.40
2007-12-13,14938.12
2007-12-14,14729.73
2007-12-17,14494.65
2007-12-18,14592.93
2007-12-19,14583.24
2007-12-20,14673.05
2007-12-21,14917.70
2007-12-24,15045.43
2007-12-25,.
2007-12-26,15059.76
2007-12-27,14830.48
2007-12-28,14847.43
2007-12-31,14753.62
2008-01-01,.
2008-01-02,14547.08
2008-01-03,14524.54
2008-01-04,14154.51
2008-01-07,14181.97
2008-01-08,13915.82
2008-01-09,14076.52
2008-01-10,14196.33
2008-01-11,13995.85
2008-01-14,14140.64
2008-01-15,13797.35
2008-01-16,13727.02
2008-01-17,13340.09
2008-01-18,13257.98
2008-01-21,.
2008-01-22,13130.94
2008-01-23,13417.22
2008-01-24,13550.44
2008-01-25,13361.98
2008-01-28,13601.00
2008-01-29,13685.24
2008-01-30,13605.15
2008-01-31,13843.25
2008-02-01,14039.72
2008-02-04,13902.22
2008-02-05,13476.06
2008-02-06,13360.19
2008-02-07,13468.74
2008-02-08,13424.80
2008-02-11,13502.55
2008-02-12,13589.58
2008-02-13,13784.02
2008-02-14,13592.48
2008-02-15,13591.95
2008-02-18,.
2008-02-19,13585.89
2008-02-20,13699.92
2008-02-21,13519.11
2008-02-22,13609.49
2008-02-25,13810.94
2008-02-26,13909.57
2008-02-27,13888.45
2008-02-28,13762.10
2008-02-29,13398.01
2008-03-03,13397.27
2008-03-04,13345.65
2008-03-05,13418.89
2008-03-06,13110.37
2008-03-07,12999.60
2008-03-10,12775.83
2008-03-11,13240.55
2008-03-12,13128.22
2008-03-13,13214.41
2008-03-14,12941.94
2008-03-17,12788.41
2008-03-18,13318.40
2008-03-19,12998.12
2008-03-20,13295.18
2008-03-21,.
2008-03-24,13523.04
2008-03-25,13573.28
2008-03-26,13466.00
2008-03-27,13313.26
2008-03-28,13207.55
2008-03-31,13284.11
2008-04-01,13740.25
2008-04-02,13726.97
2008-04-03,13752.22
2008-04-04,13770.24
2008-04-07,13792.15
2008-04-08,13733.86
2008-04-09,13603.84
2008-04-10,13678.97
2008-04-11,13400.36
2008-04-14,13356.84
2008-04-15,13419.61
2008-04-16,13733.63
2008-04-17,13726.99
2008-04-18,13965.24
2008-04-21,13945.15
2008-04-22,13809.48
2008-04-23,13849.50
2008-04-24,13941.56
2008-04-25,14039.19
2008-04-28,14035.97
2008-04-29,13975.02
2008-04-30,13930.84
2008-05-01,14158.03
2008-05-02,14193.94
2008-05-05,14141.31
2008-05-06,14250.92
2008-05-07,14007.80
2008-05-08,14064.90
2008-05-09,13985.25
2008-05-12,14137.51
2008-05-13,14150.80
2008-05-14,14198.63
2008-05-15,14347.63
2008-05-16,14370.44
